window_id,total_computed,total_frozen,total_abs_diff,total_match,average_computed,average_frozen,average_abs_diff,average_match,median_computed,median_frozen,median_abs_diff,median_match,sd_computed,sd_frozen,sd_abs_diff,sd_match,kurtosis_computed,kurtosis_frozen,kurtosis_abs_diff,kurtosis_match,skewness_computed,skewness_frozen,skewness_abs_diff,skewness_match
ice002_p_1of3|W60|382061-394061,4.300275060784205,4.300275060784205,0.0,True,0.06056725437724233,0.0605672543772423,2.7755575615628914e-17,True,0.007504421694907251,0.0075044216949072,5.117434254131581e-17,True,0.13041736553653596,0.1304173655365359,5.551115123125783e-17,True,8.986315432795891,8.986315432795891,0.0,True,3.0482493135143893,3.0482493135143893,0.0,True
ice002_p_1of3|W60|442061-454061,3.624899632524567,3.624899632524567,0.0,True,0.05178428046463667,0.0517842804646366,6.938893903907228e-17,True,0.0050674066208141084,0.0050674066208141,8.673617379884035e-18,True,0.11969045416665502,0.119690454166655,2.7755575615628914e-17,True,11.12024458989664,11.12024458989664,0.0,True,3.342408423270182,3.342408423270182,0.0,True
ice002_p_2of3|W60|530062-542062,2.8089163957984464,2.8089163957984464,0.0,True,0.03745221861064595,0.0374522186106459,5.551115123125783e-17,True,0.0025816800362349485,0.0025816800362349,4.85722573273506e-17,True,0.1019547990458049,0.1019547990458049,0.0,True,18.978648937310854,18.978648937310854,0.0,True,4.214198173253658,4.214198173253658,0.0,True
ice002_p_3of3|W60|451431-463431,3.659416102568133,3.659416102568133,0.0,True,0.03659416102568133,0.0365941610256813,3.469446951953614e-17,True,0.0013715799200539368,0.0013715799200539,3.686287386450715e-17,True,0.10542969331548437,0.1054296933154843,6.938893903907228e-17,True,19.872803936222827,19.872803936222827,0.0,True,4.319081633045144,4.319081633045144,0.0,True
ice002_p_3of3|W60|463431-475431,4.074401698198588,4.074401698198588,0.0,True,0.05157470504048845,0.0515747050404884,4.85722573273506e-17,True,0.003976589978479228,0.0039765899784792,2.862293735361732e-17,True,0.12070291403986105,0.120702914039861,5.551115123125783e-17,True,10.351657620746707,10.351657620746709,1.7763568394002505e-15,True,3.2587814021693124,3.2587814021693124,0.0,True
ice002_p_3of3|W60|600426-612426,5.504701097668936,5.504701097668936,0.0,True,0.05919033438353694,0.0591903343835369,4.163336342344337e-17,True,0.009203624038852344,0.0092036240388523,4.336808689942018e-17,True,0.12414387121581234,0.1241438712158123,4.163336342344337e-17,True,9.840744897407765,9.840744897407763,1.7763568394002505e-15,True,3.1096947737569125,3.1096947737569125,0.0,True
ice003_p_1of2|W60|269926-281926,3.4968755233859814,3.4968755233859814,0.0,True,0.052982962475545174,0.0529829624755451,7.632783294297951e-17,True,0.005580433808675667,0.0055804338086756,6.765421556309548e-17,True,0.12029547423929736,0.1202954742392973,5.551115123125783e-17,True,10.041371687841087,10.041371687841089,1.7763568394002505e-15,True,3.2118804797955165,3.2118804797955165,0.0,True
ice003_p_1of2|W60|353926-365926,4.553012378894211,4.553012378894211,0.0,True,0.05691265473617764,0.0569126547361776,4.163336342344337e-17,True,0.0067700361108074805,0.0067700361108074,8.066464163292153e-17,True,0.1254913374392803,0.1254913374392803,0.0,True,11.415814487606173,11.415814487606172,1.7763568394002505e-15,True,3.3159854947734875,3.3159854947734875,0.0,True
ice003_p_1of2|W60|605926-617926,2.057888142894298,2.057888142894298,0.0,True,0.05879680408269423,0.0587968040826942,2.7755575615628914e-17,True,0.0044901655932910005,0.004490165593291,8.673617379884035e-19,True,0.13221947897514336,0.1322194789751433,5.551115123125783e-17,True,9.187481449665754,9.187481449665754,0.0,True,3.088160405447485,3.088160405447485,0.0,True
ice003_p_2of2|W60|81820-93820,3.9157494407867106,3.9157494407867106,0.0,True,0.0430302136350188,0.0430302136350188,0.0,True,0.0029017419398461564,0.0029017419398461,5.637851296924623e-17,True,0.10839220490336972,0.1083922049033697,1.3877787807814457e-17,True,15.28579889964664,15.28579889964664,0.0,True,3.8064984424206236,3.806498442420624,4.440892098500626e-16,True
ice004_p_1of1|W60|363304-375304,2.1999159729746354,2.1999159729746354,0.0,True,0.06285474208498958,0.0628547420849895,6.938893903907228e-17,True,0.009232508858936327,0.0092325088589363,2.7755575615628914e-17,True,0.13122029861159032,0.1312202986115903,2.7755575615628914e-17,True,8.433557608966321,8.433557608966321,0.0,True,2.9661396862440412,2.9661396862440412,0.0,True
ice004_p_1of1|W60|717304-729304,3.8383568503381835,3.838356850338183,4.440892098500626e-16,True,0.045157139415743335,0.0451571394157433,3.469446951953614e-17,True,0.0023728648784248447,0.0023728648784248,4.466912950640278e-17,True,0.11686587072178997,0.1168658707217899,6.938893903907228e-17,True,13.68045302379722,13.68045302379722,0.0,True,3.6724546447773996,3.6724546447774,4.440892098500626e-16,True
ice004_p_1of1|W60|765304-777304,2.060123218762479,2.060123218762479,0.0,True,0.054213768914802084,0.054213768914802,8.326672684688674e-17,True,0.005374018369917805,0.0053740183699178,5.204170427930421e-18,True,0.12067404150865955,0.1206740415086595,5.551115123125783e-17,True,9.18339438359163,9.18339438359163,0.0,True,3.09672744236427,3.09672744236427,0.0,True
ice005_p_1of3|W60|147301-159301,3.90150751613949,3.90150751613949,0.0,True,0.041505399107866915,0.0415053991078669,1.3877787807814457e-17,True,0.003654009827445806,0.0036540098274458,6.071532165918825e-18,True,0.10385587939464662,0.1038558793946466,1.3877787807814457e-17,True,14.658307057589603,14.658307057589605,1.7763568394002505e-15,True,3.7652464654061006,3.7652464654061006,0.0,True
ice005_p_1of3|W60|456317-468317,4.010522873963609,4.010522873963609,0.0,True,0.03314481714019511,0.0331448171401951,1.3877787807814457e-17,True,0.0018702033722161667,0.0018702033722161,6.678685382510707e-17,True,0.1006774894757028,0.1006774894757028,0.0,True,24.399298105239794,24.399298105239794,0.0,True,4.740466935693078,4.740466935693078,0.0,True
ice005_p_2of3|W60|78078-90078,3.1617766942386463,3.1617766942386463,0.0,True,0.04160232492419271,0.0416023249241927,1.3877787807814457e-17,True,0.003061793277185491,0.0030617932771854,9.107298248878237e-17,True,0.10598493223968876,0.1059849322396887,5.551115123125783e-17,True,15.674561800315733,15.674561800315733,0.0,True,3.8652264279153012,3.865226427915301,4.440892098500626e-16,True
ice005_p_3of3|W60|3000-15000,3.965786847951838,3.965786847951838,0.0,True,0.06396430399922319,0.0639643039992231,9.71445146547012e-17,True,0.008060347897597683,0.0080603478975976,8.326672684688674e-17,True,0.1338356466841752,0.1338356466841752,0.0,True,8.077213686346802,8.077213686346802,0.0,True,2.912030162127754,2.912030162127754,0.0,True
